Relavance,Content
unrelated,Aliens in Miami? 👽 Congress talking UFOs? 🛸 The truth is out there... or is it? 🤔 From mall mayhem to backyard visitors UFO fever is spreading faster than Area 51 memes! NASA's joining the party with AI and satellites. Are we alone? 34% of Americans say NOPE. Time to dust off… https://t.co/TDtDmDw0tX
unrelated,#aviationdaily #Incident #Emergency Landing at #Brussels #Airport : TUI #Boeing 737 Evacuated Following Cargo Fire Indication. Details: https://t.co/Uq7uDJf4EN #aviationlovers #AvGeek #Avgeeks #Airlines #Airline #Boeing737 #Boeing777X #FLIGHT #flights #Airports #cabincrew… https://t.co/njllbsuREc
unrelated,The pilot of a Boeing 737 Max jet described the door flying off of his jet as an “explosive experience” in thousands of pages of new documents.  https://t.co/t7kB6OoMyv
unrelated,BOEING   BREAKING - Boeing questioned over mid-air door panel blowout  Aug 6 2024 Top #Boeing officials faced tough questions from the National Transportation Safety Board on Tuesday over a mid-air door panel blowout on one of its planes earlier this year.   The incident raised… https://t.co/1mUjGz9PsK https://t.co/9YJiar7rtU
related,So the Starliner might not survive reentry. But it also won't disconnect without someone inside of it. So either Boeing puts an astronaut in mortal risk or the Starliner becomes a permanent module?  @NASA @BoeingSpace can you make a simple robot or a software update? https://t.co/3maFT7WlHM
unrelated,Lake Maracaibo in Venezuela has the highest concentration of lightning strikes in the world with an average of 233 flashes per square kilometer each year. 📸NASA ya estan tras Maduro.!!!! https://t.co/cihixxK3Og
unrelated,NTSB lays out evidence on Boeing’s role in Alaska Airlines 737 MAX 9 flight blowout - Paige Cornwell #aviation   https://t.co/UomHw28nBN https://t.co/PLL9VzVWOd
related,Boeing is going to lose the contract anyways that capsule is useless.
related,It Turns Out Boeing's Derelict Starliner Is Unable to Fly Without a Crew on Board - Futurism https://t.co/XHwOqeNrCB
unrelated,"Boeing has named Robert ""Kelly"" Ortberg 64 as its new CEO after a tough year of declining business and passenger trust. https://t.co/nBkikR7z07"
unrelated,Here''s What We Know About Ethiopia''s Boeing 737 Crash Investigation So Far. After weeks of speculation Ethiopian investigators have provided the first official glimpse into what went wrong in the second 737 Max 8 crash in five months.
unrelated,Boeing employees interviewed by federal investigators in the seven months since an Alaska Airlines flight suffered a terrifying mid-air blowout have told of the chaos inside the aerospace company’s factories. https://t.co/7xp5T9XttJ
unrelated,The first picture taken by a spacecraft landing on the surface of a comet [12 November 2014] https://t.co/ljenAMvRCv
related,Colossal Boeing Starliner Failure Leaves Astronauts Stranded on Space Station: SpaceX to the Rescue?Colossal Boeing Starliner Failure Leaves Astronauts Stranded on Space Station: SpaceX to the Rescue https://t.co/MHSoexOMAS
unrelated,NASA's Lunar Lighthouse: Guiding the Future of Moon Exploration  The news was brought to you by https://t.co/3UK4f97UVd. Listen version: https://t.co/jlidQuH1QS  NASA has unveiled plans to establish a lunar lighthouse revolutionizing Moon exploration. The space agency recently… https://t.co/jlYJpia694
unrelated,‘Changed doors like our underwear’ Boeing workers reveal disorder at factories  Read: https://t.co/ajnMc3PVAG  https://t.co/ajnMc3PVAG
related,Colossal Boeing Starliner Failure Leaves Astronauts Stranded on Space Station: SpaceX to the Rescue?  https://t.co/oPyVqOCQAH https://t.co/oPyVqOCQAH
unrelated,Today We Found Out About the NASA secret study making it possible to upgrade your life and finances by tapping into hidden mental abilities. Do you think it would work for you? https://t.co/ncYGvymMuG https://t.co/rZYY4SkugP
unrelated,From Down Under US Officials Press For Answers On Boeing Emergency On Alaska Airlines https://t.co/Gw9702rumF
unrelated,Niggas want a PS5 I need a Boeing 777 or Airbus 380
unrelated,Boeing said it plans to make design changes to prevent a future mid-air cabin panel blowout like the one in an Alaska Airlines 737 MAX 9 flight in January that spun the planemaker into its second major crisis in recent years. More here: https://t.co/NT77WBcbm1
unrelated,Futuristic Plane Designs - Boeing Transonic Truss-Braced Wing (TTBW)  🔗 https://t.co/OAZB5jeZPg https://t.co/jewzuleXec
related,My proposed Starliner solution: @elonmusk carries Boeing CEO and COO to Space Station on Dragon. CEO and COO fly Starliner home. Original test pilots return home on Dragon.  If Boeing corporate thinks it is ready the bosses should fly it home. Why not?  https://t.co/fUobweFWOf
unrelated,TIL that astronaut helmets have a patch of Velcro inside of them so astronauts have a way to scratch their noses. https://t.co/V0IbQHk7oF
unrelated,The quality of workmanship in the US has been declining for some time. Boeing is a prime example. Draw your own conclusions. Anyone think DEI hiring might have something to do with it? https://t.co/DiECUf15Sg
related,Well-placed sources said the current flight software on board Starliner as configured cannot perform an automated undocking from the space station and entry into Earth’s atmosphere. It will take about four weeks to update and validate the software for an autonomous return… https://t.co/7HM5VeN3qo https://t.co/PMYcLX0euy
unrelated,This is the Truth about the moon landing conspiracy  The real reason we have not returned to the moon is because we have lost our Christian zeal  The atheists and leftists don't want you to know that everyone at NASA back in the 50s and 60s were deeply Christian  The Apollo… https://t.co/eu0ZsVMkj8
related,SpaceX delays Crew-9 astronaut launch amid uncertainty over Boeing Starliner https://t.co/Jh7V6gyTE4
related,If #SunitaWilliams stays stuck in space for any longer than 12 or so days a huge threat will arise  #NASA   https://t.co/RBiPRrsDcA
unrelated,🚀✨ Back to School Supplies ✨🚀  NASA’s Commercial Resupply Program is not just about delivering supplies to the ISS; it’s about fueling the dreams and aspirations of humanity.  Through successful partnerships with SpaceX and Northrop Grumman NASA is ensuring the International… https://t.co/kU1X1YkUUo https://t.co/jXMqUpldqU
unrelated,Not sure what's going on with the timeline  I tweet about Interstellar being Christian and all of a sudden my timeline is filled with posts about Christian astronauts  This might be the new zeitgeist https://t.co/qBdXbUFEFw
unrelated,Boeing said it plans to make design changes to prevent a future mid-air cabin panel blowout like the one in an Alaska Airlines 737 MAX 9 flight in January that spun the planemaker into its second major crisis in recent years https://t.co/fRZEaOSx0S
unrelated,HOOVR36 R135 USAF 62-4131 Boeing RC-135W Rivet Joint Flight from Las Vegas LAS to N/A Noted 21:41cdt 08/06/24 ⁦@KLWNEWS1⁩ https://t.co/UOwL2P0YcK https://t.co/YhinST3xyM
unrelated,Hearing held on Boeing 737 MAX 9's door panel blowout incident https://t.co/Mg98WEG63o
unrelated,2 years ago today @AkasaAir's 1st flight took to the skies.  A bunch of #AvGeek's including myself were onboard and cheered as VT-YAA departed #Mumbai.  With a fleet of 24 @Boeing #B737Max and a firm order for  202 more QP is on a roll. Happy Birthday QP! Here's to many more🥂 https://t.co/jc5RzqGAA8
unrelated,Here’s a signed pic I have of @NASA Flight Director Gene Kranz who oversaw many historical space program missions including the moon landing. Ed Harris portrayed him in Apollo 13 https://t.co/ccrSK4hJaT
unrelated,#NASA CP-22 announcement anytime this week!  After the backlash they've been getting because of Viper and $BA they need a win here! $MAYX $LUNR https://t.co/7soyQGu26T
related,SpaceX’s Crew-9 mission delayed due to Boeing’s Starliner issues  Read more: https://t.co/ynzzP6Slgc https://t.co/DC9RiOILwR
unrelated,#ThisDayInSpace: On this day in 1997 space shuttle Atlantis mission STS-81 launched from NASA’s Kennedy Space Center on the fifth Shuttle-Mir docking mission.  #Space #SpaceHistory #spaceshuttle #NASA https://t.co/8QL8zRLLap
unrelated,I was wrong  I figured NASA engineers just didn't test their software on hardware and machine   Again I was wrong  They didn't complete it  What the actual fuck?! https://t.co/pSeFmBULvr
